municipio,regiao,populacao,idh,total_atendimentos,atend_por_100k,rank_proporcional,cod_ibge
Abaiara,Sul Cearense,10038,0.628,231,2301.26,138,2300101
Acarape,Norte Cearense,14027,0.606,495,3528.91,90,2300150
Acaraú,Noroeste Cearense,65264,0.601,2368,3628.34,81,2300200
Acopiara,Sertões Cearenses,44962,0.595,1331,2960.28,100,2300309
Aiuaba,Sertões Cearenses,14076,0.569,570,4049.45,73,2300408
Alcântaras,Noroeste Cearense,11369,0.6,211,1855.92,161,2300507
Altaneira,Sul Cearense,6782,0.602,205,3022.71,99,2300606
Alto Santo,Jaguaribe,14155,0.601,510,3602.97,82,2300705
Amontada,Norte Cearense,42156,0.606,1302,3088.53,98,2300754
Antonina do Norte,Centro-Sul Cearense,7245,0.599,192,2650.1,115,2300804
Apuiarés,Norte Cearense,12928,0.618,219,1694.0,166,2300903
Aquiraz,Metropolitana de Fortaleza,80645,0.641,1926,2388.24,130,2301000
Aracati,Jaguaribe,75113,0.655,772,1027.78,177,2301109
Aracoiaba,Norte Cearense,25553,0.615,703,2751.14,110,2301208
Ararendá,Sertões Cearenses,11096,0.59,206,1856.52,160,2301257
Araripe,Sul Cearense,19783,0.564,895,4524.09,56,2301307
Aratuba,Norte Cearense,11224,0.622,387,3447.97,92,2301406
Arneiroz,Sertões Cearenses,7429,0.618,163,2194.1,142,2301505
Assaré,Sul Cearense,21697,0.6,549,2530.3,121,2301604
Aurora,Sul Cearense,23714,0.605,586,2471.11,125,2301703
Baixio,Centro-Sul Cearense,5704,0.627,146,2559.61,120,2301802
Banabuiú,Sertões Cearenses,17195,0.606,484,2814.77,107,2301851
Barbalha,Sul Cearense,75033,0.683,967,1288.77,175,2301901
Barreira,Norte Cearense,22392,0.616,436,1947.12,151,2301950
Barro,Sul Cearense,19381,0.599,363,1872.97,157,2302008
Barroquinha,Noroeste Cearense,14567,0.571,654,4489.6,58,2302057
Baturité,Norte Cearense,35218,0.619,805,2285.76,140,2302107
Beberibe,Norte Cearense,53114,0.638,1445,2720.56,112,2302206
Bela Cruz,Noroeste Cearense,32775,0.623,864,2636.16,116,2302305
Boa Viagem,Sertões Cearenses,50411,0.598,1387,2751.38,109,2302404
Brejo Santo,Sul Cearense,51090,0.647,1172,2293.99,139,2302503
Camocim,Noroeste Cearense,62326,0.62,1452,2329.69,136,2302602
Campos Sales,Sul Cearense,25135,0.63,943,3751.74,78,2302701
Canindé,Norte Cearense,74174,0.612,1618,2181.36,143,2302800
Capistrano,Norte Cearense,17254,0.611,421,2440.01,127,2302909
Caridade,Norte Cearense,16377,0.592,650,3968.98,74,2303006
Cariré,Noroeste Cearense,17632,0.596,504,2858.44,105,2303105
Caririaçu,Sul Cearense,26320,0.578,345,1310.79,174,2303204
Cariús,Centro-Sul Cearense,17015,0.597,407,2392.01,129,2303303
Carnaubal,Noroeste Cearense,17210,0.593,275,1597.91,169,2303402
Cascavel,Norte Cearense,72720,0.646,1494,2054.46,147,2303501
Catarina,Sertões Cearenses,10243,0.618,272,2655.47,114,2303600
Catunda,Noroeste Cearense,10444,0.609,255,2441.59,126,2303659
Caucaia,Metropolitana de Fortaleza,355679,0.682,2930,823.78,181,2303709
Cedro,Centro-Sul Cearense,22344,0.627,561,2510.74,123,2303808
Chaval,Noroeste Cearense,12462,0.586,695,5576.95,31,2303907
Choró,Sertões Cearenses,12113,0.585,546,4507.55,57,2303931
Chorozinho,Norte Cearense,20163,0.604,377,1869.76,158,2303956
Coreaú,Noroeste Cearense,20953,0.61,577,2753.78,108,2304004
Crateús,Sertões Cearenses,76390,0.644,1268,1659.9,167,2304103
Crato,Sul Cearense,131050,0.713,2266,1729.11,163,2304202
Croatá,Noroeste Cearense,17481,0.59,460,2631.43,117,2304236
Cruz,Noroeste Cearense,29761,0.632,579,1945.5,152,2304251
Deputado Irapuan Pinheiro,Sertões Cearenses,8932,0.609,88,985.22,178,2304269
Ereré,Jaguaribe,6474,0.61,39,602.41,183,2304277
Eusébio,Metropolitana de Fortaleza,74170,0.701,512,690.31,182,2304285
